1d:15:17 | Downloaded contents of http://pastebin.com/raw/9bXfCz6M
1d:15:23 | Downloaded contents of https://pastebin.com/raw/3JZHXTGL
1d:15:35 | Downloaded contents of http://pastebin.com/raw/zVws7eLq
1d:15:51 | Downloaded contents of http://pastebin.com/raw/4HLxeETG
1d:21:46 | Downloaded contents of https://pastebin.com/raw/rFUxZUEP
2d:22:28 | Downloaded contents of https://pastebin.com/raw/nrSC7JcH
2d:22:56 | Downloaded contents of https://raw.github.com/Sxw1212/ccprograms/master/chrootapi
2d:22:57 | Downloaded contents of https://raw.github.com/Sxw1212/ccprograms/master/gopher/redirect
2d:22:57 | Downloaded contents of https://raw.github.com/Sxw1212/ccprograms/master/gopher/goroutine
2d:22:58 | Downloaded contents of https://raw.github.com/Sxw1212/ccprograms/master/ccboxupd
3d:2:11 | Downloaded contents of https://pastebin.com/raw/Ef4SdA3k
1d:6:08 | Loaded system file: /boot/drivers/mouse.sys
1d:6:08 | Loaded system file: /lib/libstdlua.2.so
1d:6:08 | Loaded system file: /lib/libuser.2.so
1d:6:09 | Loaded system file: /lib/libgui_txui.1.so
1d:6:09 | Darwin kernel loaded
2d:1:40 | Downloaded contents of https://pastebin.com/raw/dJd0B0V8
3d:5:38 | Loaded system file: /boot/drivers/mouse.sys
3d:5:38 | Loaded system file: /lib/libstdlua.2.so
3d:5:39 | Loaded system file: /lib/libuser.2.so
3d:5:39 | Loaded system file: /lib/libgui_txui.1.so
3d:5:39 | Darwin kernel loaded
3d:6:22 | Attempt to access system files!
3d:6:22 | Superuser access verified.
3d:6:30 | Attempt to access system files!
3d:6:30 | Superuser access verified.
1d:6:03 | Loaded system file: /boot/drivers/mouse.sys
1d:6:04 | Loaded system file: /lib/libstdlua.2.so
1d:6:04 | Loaded system file: /lib/libuser.2.so
1d:6:04 | Loaded system file: /lib/libgui_txui.1.so
1d:6:04 | Darwin kernel loaded
1d:8:27 | Loaded system file: /boot/drivers/mouse.sys
1d:8:27 | Loaded system file: /lib/libstdlua.2.so
1d:8:27 | Loaded system file: /lib/libuser.2.so
1d:8:28 | Loaded system file: /lib/libgui_txui.1.so
1d:8:28 | Darwin kernel loaded
1d:12:20 | Loaded system file: /boot/drivers/mouse.sys
1d:12:20 | Loaded system file: /lib/libstdlua.2.so
1d:12:21 | Loaded system file: /lib/libuser.2.so
1d:12:21 | Loaded system file: /lib/libgui_txui.1.so
1d:12:21 | Darwin kernel loaded
2d:21:03 | Loaded system file: /boot/drivers/mouse.sys
2d:21:03 | Loaded system file: /lib/libstdlua.2.so
2d:21:03 | Loaded system file: /lib/libuser.2.so
2d:21:03 | Loaded system file: /lib/libgui_txui.1.so
2d:21:03 | Darwin kernel loaded
2d:21:14 | Loaded system file: /boot/drivers/mouse.sys
2d:21:14 | Loaded system file: /lib/libstdlua.2.so
2d:21:15 | Loaded system file: /lib/libuser.2.so
2d:21:15 | Loaded system file: /lib/libgui_txui.1.so
2d:21:15 | Darwin kernel loaded
3d:0:28 | Loaded system file: /boot/drivers/mouse.sys
3d:0:28 | Loaded system file: /lib/libstdlua.2.so
3d:0:28 | Loaded system file: /lib/libuser.2.so
3d:0:28 | Loaded system file: /lib/libgui_txui.1.so
3d:0:28 | Darwin kernel loaded
3d:8:19 | Loaded system file: /boot/drivers/mouse.sys
3d:8:19 | Loaded system file: /lib/libstdlua.2.so
3d:8:19 | Loaded system file: /lib/libuser.2.so
3d:8:20 | Loaded system file: /lib/libgui_txui.1.so
3d:8:20 | Darwin kernel loaded
1d:6:56 | Loaded system file: /boot/drivers/mouse.sys
1d:6:56 | Loaded system file: /lib/libstdlua.2.so
1d:6:56 | Loaded system file: /lib/libuser.2.so
1d:6:57 | Loaded system file: /lib/libgui_txui.1.so
1d:6:57 | Darwin kernel loaded
1d:11:01 | Loaded system file: /boot/drivers/mouse.sys
1d:11:01 | Loaded system file: /lib/libstdlua.2.so
1d:11:01 | Loaded system file: /lib/libuser.2.so
1d:11:02 | Loaded system file: /lib/libgui_txui.1.so
1d:11:02 | Darwin kernel loaded
1d:6:04 | Loaded system file: /boot/drivers/mouse.sys
1d:6:04 | Loaded system file: /lib/libstdlua.2.so
1d:6:05 | Loaded system file: /lib/libuser.2.so
1d:6:05 | Loaded system file: /lib/libgui_txui.1.so
1d:6:05 | Darwin kernel loaded
1d:6:02 | Loaded system file: /boot/drivers/mouse.sys
1d:6:03 | Loaded system file: /lib/libstdlua.2.so
1d:6:03 | Loaded system file: /lib/libuser.2.so
1d:6:03 | Loaded system file: /lib/libgui_txui.1.so
1d:6:03 | Darwin kernel loaded
1d:7:21 | Loaded system file: /boot/drivers/mouse.sys
1d:7:21 | Loaded system file: /lib/libstdlua.2.so
1d:7:22 | Loaded system file: /lib/libuser.2.so
1d:7:23 | Loaded system file: /lib/libgui_txui.1.so
1d:7:23 | Darwin kernel loaded
1d:6:08 | Loaded system file: /boot/drivers/mouse.sys
1d:6:08 | Loaded system file: /lib/libstdlua.2.so
1d:6:09 | Loaded system file: /lib/libuser.2.so
1d:6:09 | Loaded system file: /lib/libgui_txui.1.so
1d:6:09 | Darwin kernel loaded
1d:8:05 | Loaded system file: /boot/drivers/mouse.sys
1d:8:05 | Loaded system file: /lib/libstdlua.2.so
1d:8:05 | Loaded system file: /lib/libuser.2.so
1d:8:06 | Loaded system file: /lib/libgui_txui.1.so
1d:8:06 | Darwin kernel loaded
1d:10:20 | Loaded system file: /boot/drivers/mouse.sys
1d:10:20 | Loaded system file: /lib/libstdlua.2.so
1d:10:21 | Loaded system file: /lib/libuser.2.so
1d:10:21 | Loaded system file: /lib/libgui_txui.1.so
1d:10:21 | Darwin kernel loaded
1d:20:16 | Loaded system file: /boot/drivers/mouse.sys
1d:20:16 | Loaded system file: /lib/libstdlua.2.so
1d:20:17 | Loaded system file: /lib/libuser.2.so
1d:20:17 | Loaded system file: /lib/libgui_txui.1.so
1d:20:17 | Darwin kernel loaded
2d:1:20 | Attempt to access system files!
2d:1:20 | Superuser access verified.
2d:18:26 | Loaded system file: /boot/drivers/mouse.sys
2d:18:26 | Loaded system file: /lib/libstdlua.2.so
2d:18:26 | Loaded system file: /lib/libuser.2.so
2d:18:26 | Loaded system file: /lib/libgui_txui.1.so
